2018-07-20 08:26:12, action:SEARCH_FILM, cinema:46, code:00, time_process:0
2018-07-20 08:26:35, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:26:57, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:27:18, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:27:40, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:27:43, action:SEARCH_FILM, cinema:54, code:00, time_process:0
2018-07-20 08:28:08, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:28:11, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:28:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:29:03, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:29:03, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:29:03, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:29:03, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:29:07, action:SEARCH_FILM, cinema:58, code:00, time_process:0
2018-07-20 08:29:17, action:SEARCH_FILM, cinema:45, code:00, time_process:0
2018-07-20 08:29:21, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:29:24, action:SEARCH_FILM, cinema:58, code:00, time_process:0
2018-07-20 08:29:34, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:29:34, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:29:44, action:GET_TICKET_TYPE, sessioncode:963704, code:00, time_process:0
2018-07-20 08:29:55, action:GET_SEAT, queryId:218054, code:00, time_process:2
2018-07-20 08:30:39, action:GET_SEAT, queryId:218055, code:00, time_process:2
2018-07-20 08:31:11, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:31:22, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:31:57, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:32:01, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:32:24, action:SEARCH_FILM, cinema:58, code:00, time_process:0
2018-07-20 08:32:47, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:32:51, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:33:07, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:33:18, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:33:19, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:33:43, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:34:00, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:34:20, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:34:25, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:34:27, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:34:31, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:34:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:34:46, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:34:47, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:34:52, action:GET_TICKET_TYPE, sessioncode:964216, code:00, time_process:0
2018-07-20 08:35:11, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:35:15, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:35:16, action:SEARCH_FILM, cinema:41, code:00, time_process:0
2018-07-20 08:35:22, action:GET_TICKET_TYPE, sessioncode:964146, code:00, time_process:0
2018-07-20 08:35:26, action:GET_TICKET_TYPE, sessioncode:964216, code:00, time_process:0
2018-07-20 08:35:30, action:GET_TICKET_TYPE, sessioncode:964254, code:00, time_process:0
2018-07-20 08:35:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:35:48, action:SEARCH_FILM, cinema:53, code:00, time_process:0
2018-07-20 08:36:21, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:36:24, action:GET_TICKET_TYPE, sessioncode:965572, code:00, time_process:0
2018-07-20 08:36:39, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:36:43, action:GET_SEAT, queryId:218060, code:00, time_process:1
2018-07-20 08:36:55, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:37:45, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:37:59, action:SEARCH_FILM, cinema:50, code:00, time_process:0
2018-07-20 08:37:59, action:SEARCH_FILM, cinema:50, code:00, time_process:0
2018-07-20 08:38:05, action:SEARCH_FILM, cinema:50, code:00, time_process:0
2018-07-20 08:38:06, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:38:36, action:SEARCH_FILM, cinema:55, code:00, time_process:0
2018-07-20 08:38:36, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:38:37, action:GET_TICKET_TYPE, sessioncode:961946, code:00, time_process:0
2018-07-20 08:38:44, action:GET_SEAT, queryId:218061, code:00, time_process:2
2018-07-20 08:38:45, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:38:50, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:39:03, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:39:43, action:CREATE_ORDER, queryId:218061, code:00, time_process:0
2018-07-20 08:39:49, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:39:57, action:GET_TICKET_TYPE, sessioncode:964146, code:00, time_process:0
2018-07-20 08:39:58, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:40:01, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:40:05, action:SEARCH_FILM, cinema:57, code:00, time_process:0
2018-07-20 08:40:12, action:SEARCH_FILM, cinema:49, code:00, time_process:0
2018-07-20 08:40:14, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:40:35, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:40:39, action:SEARCH_FILM, cinema:66, code:00, time_process:0
2018-07-20 08:40:47, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:41:06, action:SEARCH_FILM, cinema:43, code:00, time_process:0
2018-07-20 08:41:09, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:41:26, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:41:34, action:GET_TICKET_TYPE, sessioncode:963582, code:00, time_process:0
2018-07-20 08:41:35, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:41:42, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:41:42, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:41:48, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:42:20, action:GET_TICKET_TYPE, sessioncode:961536, code:00, time_process:0
2018-07-20 08:42:32, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:42:32, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:42:37, action:CREATE_ORDER, queryId:218060, code:00, time_process:0
2018-07-20 08:42:46, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:43:13, action:CONFIRM_TICKET, queryId:218060, code:00, time_process:6
2018-07-20 08:43:23, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:43:40, action:SEARCH_FILM, cinema:56, code:00, time_process:0
2018-07-20 08:43:49, action:GET_TICKET_TYPE, sessioncode:964216, code:00, time_process:0
2018-07-20 08:44:09, action:GET_SEAT, queryId:218065, code:00, time_process:3
2018-07-20 08:44:12, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:44:13, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:44:28, action:SEARCH_FILM, cinema:53, code:00, time_process:0
2018-07-20 08:44:47, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:45:37, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:46:00, action:SEARCH_FILM, cinema:41, code:00, time_process:0
2018-07-20 08:46:16, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
2018-07-20 08:46:22, action:SEARCH_FILM, cinema:ALL, code:00, time_process:0
